date,twilight_window,SN,RA_deg,Dec_deg,best_twilight_time_utc,best_alt_deg,filters,exposure_s,readout_s,filter_changes_s,slew_s,total_time_s
2024-01-01,morning,2023yxi,47.417777,-31.22288,2024-01-01T01:12:00+00:00,89.09,g,5.0,2.0,0.0,0.0,7.0
2024-01-01,morning,2023yqc,38.192499,-38.310448,2024-01-01T00:36:00+00:00,82.04,g,5.0,2.0,0.0,6.1,13.1
2024-01-01,morning,2023zzn,46.861701,-42.658672,2024-01-01T01:10:00+00:00,77.67,g,5.0,2.0,0.0,5.4,12.4
2024-01-01,morning,2023ypx,18.428125,-41.627731,2023-12-31T23:44:00+00:00,77.51,g,5.0,2.0,0.0,9.1,16.1
2024-01-01,morning,2023ywq,15.922583,-39.874981,2023-12-31T23:44:00+00:00,77.89,g,5.0,2.0,0.0,4.0,11.0
2024-01-01,morning,2023zrc,17.044547,-36.059907,2023-12-31T23:44:00+00:00,81.17,g,5.0,2.0,0.0,4.3,11.3
2024-01-01,evening,2024C,145.9755,-29.727481,2024-01-01T08:09:00+00:00,85.01,g,5.0,2.0,0.0,0.0,7.0
2024-01-01,evening,2023zce,141.587417,-31.226239,2024-01-01T08:09:00+00:00,81.23,g,5.0,2.0,0.0,4.3,11.3
2024-01-01,evening,2023zea,148.28178,-37.998441,2024-01-01T08:09:00+00:00,81.64,g,5.0,2.0,0.0,5.6,12.6
2024-01-02,morning,2023yqc,38.192499,-38.310448,2024-01-02T00:32:00+00:00,82.04,g,5.0,2.0,0.0,0.0,7.0
2024-01-02,morning,2023zrc,17.044547,-36.059907,2024-01-01T23:44:00+00:00,80.53,g,5.0,2.0,0.0,8.0,15.0
2024-01-02,morning,2023ywq,15.922583,-39.874981,2024-01-01T23:44:00+00:00,77.37,g,5.0,2.0,0.0,4.3,11.3
2024-01-02,evening,2024C,145.9755,-29.727481,2024-01-02T08:09:00+00:00,84.16,g,5.0,2.0,0.0,0.0,7.0
2024-01-02,evening,2023zce,141.587417,-31.226239,2024-01-02T08:09:00+00:00,80.39,g,5.0,2.0,0.0,4.3,11.3
2024-01-02,evening,2023zea,148.28178,-37.998441,2024-01-02T08:09:00+00:00,81.33,g,5.0,2.0,0.0,5.6,12.6
2024-01-02,evening,2023zcv,148.280787,-42.447147,2024-01-02T08:09:00+00:00,77.18,g,5.0,2.0,0.0,4.4,11.4
2024-01-03,morning,2023yxi,47.417777,-31.22288,2024-01-03T01:05:00+00:00,89.11,g,5.0,2.0,0.0,0.0,7.0
2024-01-03,morning,2024hm,51.027169,-38.733171,2024-01-03T01:19:00+00:00,81.59,g,5.0,2.0,0.0,5.4,12.4
2024-01-03,morning,2023zrc,17.044547,-36.059907,2024-01-02T23:45:00+00:00,79.68,g,5.0,2.0,0.0,10.8,17.8
2024-01-03,evening,2024C,145.9755,-29.727481,2024-01-03T08:10:00+00:00,83.09,g,5.0,2.0,0.0,0.0,7.0
2024-01-03,evening,2023zce,141.587417,-31.226239,2024-01-03T08:10:00+00:00,79.33,g,5.0,2.0,0.0,4.3,11.3
2024-01-03,evening,2023zea,148.28178,-37.998441,2024-01-03T08:10:00+00:00,80.85,g,5.0,2.0,0.0,5.6,12.6
2024-01-03,evening,2023zcv,148.280787,-42.447147,2024-01-03T08:10:00+00:00,76.87,g,5.0,2.0,0.0,4.4,11.4
